Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,16/09/18,AZ Alkmaar,Feyenoord,1,1,D,1,1,D,11,9,3,3,8,10,4,10,1,1,0,0,2.6,3.75,2.4,2.75,3.5,2.5,2.6,3.65,2.35,2.7,3.81,2.46,2.6,3.8,2.38,2.7,3.75,2.45,39,2.75,2.65,3.81,3.65,2.5,2.41,34,1.53,1.48,2.7,2.57,20,0,2.08,2.01,1.88,1.83,2.75,3.96,2.43
N1,16/09/18,Heerenveen,Heracles,3,5,A,1,1,D,11,10,6,7,15,14,4,3,1,2,0,0,1.72,4,4.33,1.75,3.9,4.5,1.77,3.85,4,1.81,3.86,4.4,1.75,4,4,1.8,4,4.2,39,1.82,1.77,4.01,3.88,4.51,4.2,34,1.58,1.53,2.55,2.45,21,-0.75,2.04,1.98,1.9,1.85,1.9,3.74,4.22
N1,16/09/18,NAC Breda,For Sittard,2,3,A,1,1,D,14,12,4,4,15,9,6,2,2,2,0,0,2.04,3.4,3.5,2.15,3.6,3.25,2.1,3.5,3.15,2.14,3.67,3.33,2.1,3.7,3.1,2.15,3.6,3.25,39,2.19,2.12,3.7,3.54,3.5,3.24,34,1.69,1.64,2.3,2.21,21,-0.25,1.92,1.87,2.02,1.97,2.48,3.53,2.93
N1,16/09/18,Utrecht,FC Emmen,1,2,A,1,0,H,15,10,4,2,10,17,4,4,1,4,1,0,1.44,4.5,6.5,1.44,4.75,6.75,1.43,4.5,6.2,1.46,4.62,7.16,1.44,4.75,6,1.4,4.8,7.5,39,1.54,1.43,5,4.6,7.5,6.63,34,1.6,1.53,2.6,2.44,21,-1.25,2,1.93,1.96,1.9,1.46,4.57,7.65
N1,16/09/18,Zwolle,Vitesse,0,2,A,0,2,A,12,9,6,4,14,14,6,6,1,3,0,0,3.4,3.5,2.04,3.3,3.5,2.15,3.2,3.55,2.05,3.28,3.84,2.1,3.2,3.9,2,3.3,3.6,2.15,39,3.4,3.22,3.9,3.59,2.2,2.1,37,1.77,1.72,2.21,2.09,21,0.25,2.05,1.99,1.89,1.84,3.07,3.76,2.26
N1,21/09/18,Heracles,Graafschap,4,0,H,1,0,H,27,13,10,4,14,15,11,3,2,1,0,1,1.44,4.5,6.25,1.53,4.5,5.75,1.46,4.6,5.7,1.47,5.02,6.31,1.47,4.75,5.5,1.5,4.6,5.75,37,1.53,1.48,5.02,4.63,6.51,5.89,34,1.51,1.47,2.75,2.58,21,-1.5,2.35,2.27,1.69,1.65,1.56,4.53,5.69
N1,22/09/18,Excelsior,Heerenveen,3,3,D,2,0,H,12,10,8,5,4,11,6,7,0,1,0,0,2.87,3.4,2.35,3,3.4,2.35,2.75,3.45,2.35,2.9,3.5,2.42,2.75,3.5,2.38,2.88,3.5,2.4,40,3.1,2.87,3.57,3.42,2.46,2.36,37,1.71,1.66,2.3,2.17,20,0.25,1.85,1.8,2.1,2.05,2.91,3.77,2.37
N1,22/09/18,For Sittard,Willem II,4,4,D,2,2,D,10,12,7,6,10,14,2,10,2,4,0,0,2.3,3.5,2.87,2.4,3.6,2.85,2.4,3.45,2.7,2.49,3.5,2.81,2.38,3.5,2.75,2.4,3.6,2.8,40,2.51,2.4,3.6,3.49,2.87,2.76,35,1.7,1.64,2.28,2.2,20,-0.25,2.17,2.11,1.81,1.74,2.48,3.71,2.74
N1,22/09/18,Vitesse,Den Haag,1,1,D,1,0,H,15,11,4,3,12,14,3,6,1,2,1,0,1.5,4,7.5,1.53,4.4,6,1.5,4.4,5.5,1.51,4.64,6.03,1.5,4.5,5.5,1.5,4.5,6.25,40,1.53,1.5,4.75,4.44,7.5,5.88,35,1.55,1.5,2.6,2.51,21,-1,1.86,1.81,2.1,2.04,1.53,4.48,6.12
N1,22/09/18,VVV Venlo,NAC Breda,3,0,H,2,0,H,14,6,5,1,9,16,3,2,0,4,0,1,1.83,3.6,4.2,1.83,3.75,4.2,1.75,3.6,4.25,1.79,3.84,4.43,1.8,3.75,4,1.8,3.75,4.4,40,1.86,1.8,3.84,3.68,4.51,4.22,38,1.94,1.86,2,1.92,20,-0.75,2.08,2.04,1.85,1.81,2.12,3.38,3.7
